ticket_id,channel,priority,ticket_text,topic
TIC10000,Email,High,VPN connection drops every few minutes when working from home.,IT
TIC10001,Chat,Urgent,There is a water leak near the kitchen on the 3rd floor.,Facilities
TIC10002,Portal,Medium,How can I update my emergency contact information in the HR system?,HR
TIC10003,Phone,High,There is a water leak near the kitchen on the 3rd floor.,Facilities
TIC10004,Email,Low,Can you explain the new tax deduction on my salary?,Payroll
TIC10005,Chat,Medium,I need confirmation of employment for a visa application.,HR
TIC10006,Chat,High,I would like to provide feedback about the new office layout.,Other
TIC10007,Portal,Medium,Who can I contact about corporate volunteering opportunities?,Other
TIC10008,Portal,Low,I need access to the finance shared drive.,Access
TIC10009,Chat,High,VPN connection drops every few minutes when working from home.,IT
TIC10010,Chat,High,My laptop is not starting and shows a blue screen.,IT
TIC10011,Phone,High,The air conditioning in meeting room B is not working.,Facilities
TIC10012,Chat,High,VPN connection drops every few minutes when working from home.,IT
TIC10013,Portal,Urgent,My badge does not open the main entrance anymore.,Access
TIC10014,Email,Low,I have a general question about company policy.,Other
TIC10015,Phone,Low,How can I update my emergency contact information in the HR system?,HR
TIC10016,Phone,Low,I need confirmation of employment for a visa application.,HR
TIC10017,Chat,Low,I have a general question about company policy.,Other
TIC10018,Email,Medium,Can you explain the new tax deduction on my salary?,Payroll
TIC10019,Phone,Medium,I would like to provide feedback about the new office layout.,Other
TIC10020,Portal,Medium,How can I update my emergency contact information in the HR system?,HR
TIC10021,Chat,Low,There is a water leak near the kitchen on the 3rd floor.,Facilities
TIC10022,Portal,Urgent,I need access to the finance shared drive.,Access
TIC10023,Chat,Low,I have a general question about company policy.,Other
TIC10024,Phone,Low,Can you explain the new tax deduction on my salary?,Payroll
TIC10025,Chat,High,There is a water leak near the kitchen on the 3rd floor.,Facilities
TIC10026,Email,High,I would like to provide feedback about the new office layout.,Other
TIC10027,Portal,Medium,The projector in the training room is broken.,Facilities
TIC10028,Email,Low,I would like to provide feedback about the new office layout.,Other
TIC10029,Portal,Medium,The air conditioning in meeting room B is not working.,Facilities
TIC10030,Portal,Low,My laptop is not starting and shows a blue screen.,IT
TIC10031,Chat,Low,There is a water leak near the kitchen on the 3rd floor.,Facilities
TIC10032,Phone,Medium,VPN connection drops every few minutes when working from home.,IT
TIC10033,Phone,Low,How can I update my emergency contact information in the HR system?,HR
TIC10034,Email,Low,My laptop is not starting and shows a blue screen.,IT
TIC10035,Chat,Medium,The projector in the training room is broken.,Facilities
TIC10036,Phone,Urgent,My badge does not open the main entrance anymore.,Access
TIC10037,Portal,Urgent,My account is locked and I cannot log into SAP.,Access
TIC10038,Portal,Medium,I have a question about my parental leave options.,HR
TIC10039,Chat,Low,The projector in the training room is broken.,Facilities
TIC10040,Email,Low,VPN connection drops every few minutes when working from home.,IT
TIC10041,Chat,Low,My account is locked and I cannot log into SAP.,Access
TIC10042,Email,Medium,Who can I contact about corporate volunteering opportunities?,Other
TIC10043,Chat,Medium,I did not receive my bonus payment this month.,Payroll
TIC10044,Portal,Medium,There is a water leak near the kitchen on the 3rd floor.,Facilities
TIC10045,Chat,Medium,I have a general question about company policy.,Other
TIC10046,Phone,Low,I have a general question about company policy.,Other
TIC10047,Phone,Medium,The projector in the training room is broken.,Facilities
TIC10048,Chat,Low,Can you explain the new tax deduction on my salary?,Payroll
TIC10049,Email,Medium,My badge does not open the main entrance anymore.,Access
TIC10050,Email,Medium,I did not receive my bonus payment this month.,Payroll
TIC10051,Portal,Medium,How can I update my emergency contact information in the HR system?,HR
TIC10052,Portal,Medium,My laptop is not starting and shows a blue screen.,IT
TIC10053,Email,Medium,Outlook keeps crashing and I cannot send emails.,IT
TIC10054,Chat,Low,I have a general question about company policy.,Other
TIC10055,Portal,Low,My account is locked and I cannot log into SAP.,Access
TIC10056,Email,Medium,Can you explain the new tax deduction on my salary?,Payroll
TIC10057,Email,Low,I would like to provide feedback about the new office layout.,Other
TIC10058,Chat,Medium,The air conditioning in meeting room B is not working.,Facilities
TIC10059,Phone,High,Who can I contact about corporate volunteering opportunities?,Other
TIC10060,Email,Urgent,There is a water leak near the kitchen on the 3rd floor.,Facilities
TIC10061,Portal,Urgent,The projector in the training room is broken.,Facilities
TIC10062,Chat,Low,How can I update my emergency contact information in the HR system?,HR
TIC10063,Chat,Urgent,I have a question about my parental leave options.,HR
TIC10064,Chat,Medium,There is a water leak near the kitchen on the 3rd floor.,Facilities
TIC10065,Phone,Medium,I need access to the finance shared drive.,Access
TIC10066,Phone,Low,I have a question about my parental leave options.,HR
TIC10067,Portal,High,I need confirmation of employment for a visa application.,HR
TIC10068,Portal,Low,My laptop is not starting and shows a blue screen.,IT
TIC10069,Chat,High,I would like to provide feedback about the new office layout.,Other
TIC10070,Portal,Low,VPN connection drops every few minutes when working from home.,IT
TIC10071,Email,Medium,My badge does not open the main entrance anymore.,Access
TIC10072,Phone,Medium,I need confirmation of employment for a visa application.,HR
TIC10073,Chat,Low,I have a question about my parental leave options.,HR
TIC10074,Chat,Low,I did not receive my bonus payment this month.,Payroll
TIC10075,Email,Medium,My account is locked and I cannot log into SAP.,Access
TIC10076,Email,Low,Who can I contact about corporate volunteering opportunities?,Other
TIC10077,Email,Medium,Who can I contact about corporate volunteering opportunities?,Other
TIC10078,Email,Medium,I would like to provide feedback about the new office layout.,Other
TIC10079,Chat,High,My badge does not open the main entrance anymore.,Access
TIC10080,Phone,Medium,"My last payslip seems incorrect, overtime hours are missing.",Payroll
TIC10081,Phone,Low,Can you explain the new tax deduction on my salary?,Payroll
TIC10082,Email,Low,My laptop is not starting and shows a blue screen.,IT
TIC10083,Portal,Low,My account is locked and I cannot log into SAP.,Access
TIC10084,Chat,Urgent,My account is locked and I cannot log into SAP.,Access
TIC10085,Phone,High,I did not receive my bonus payment this month.,Payroll
TIC10086,Email,Low,There is a water leak near the kitchen on the 3rd floor.,Facilities
TIC10087,Portal,Low,There is a water leak near the kitchen on the 3rd floor.,Facilities
TIC10088,Portal,High,My laptop is not starting and shows a blue screen.,IT
TIC10089,Email,High,The projector in the training room is broken.,Facilities
TIC10090,Chat,High,There is a water leak near the kitchen on the 3rd floor.,Facilities
TIC10091,Phone,High,The projector in the training room is broken.,Facilities
TIC10092,Portal,Medium,How can I update my emergency contact information in the HR system?,HR
TIC10093,Phone,Low,Outlook keeps crashing and I cannot send emails.,IT
TIC10094,Phone,Medium,Can you explain the new tax deduction on my salary?,Payroll
TIC10095,Portal,Medium,There is a water leak near the kitchen on the 3rd floor.,Facilities
TIC10096,Email,Medium,I have a general question about company policy.,Other
TIC10097,Portal,Medium,I need confirmation of employment for a visa application.,HR
TIC10098,Portal,Low,There is a water leak near the kitchen on the 3rd floor.,Facilities
TIC10099,Chat,Low,How can I update my emergency contact information in the HR system?,HR
TIC10100,Phone,Medium,VPN connection drops every few minutes when working from home.,IT
TIC10101,Email,Low,I would like to provide feedback about the new office layout.,Other
